Match ID,Tournament,Year,Round,Surface,Player 1 Name,Player 2 Name,Player 1 Rank,Player 2 Rank,Winner,Score,Match Duration
M0020,Australian Open,2015,Second Round,Grass,Novak Djokovic,Roger Federer,22,18,Roger Federer,"6-1, 6-4, 7-5, 6-2, 7-5",100
M0021,Australian Open,2012,Third Round,Grass,Novak Federer,Novak Murray,87,79,Novak Murray,"6-4, 6-1, 6-3, 6-4, 6-2",114
M0022,French Open,2011,Second Round,Grass,Boris Murray,Rafael Sampras,45,60,Boris Murray,"6-1, 6-4, 6-0, 6-1, 7-6",135
M0023,US Open,2001,Final,Clay,John Djokovic,Rafael Sampras,63,84,John Djokovic,"6-0, 7-6, 6-3",161
M0024,US Open,2013,Second Round,Grass,Novak Tsitsipas,Carlos Alcaraz,59,62,Novak Tsitsipas,"7-6, 6-3, 6-2, 6-3",119
M0025,French Open,2003,Final,Clay,Pete Medvedev,Boris Becker,16,40,Pete Medvedev,"6-2, 6-1, 6-0",151
M0026,US Open,2008,Semifinal,Hard,Boris Murray,John Nadal,15,67,Boris Murray,"6-0, 7-6, 6-3, 6-3, 6-2",109
M0027,Wimbledon,2008,Final,Grass,John Djokovic,Pete Alcaraz,86,26,Pete Alcaraz,"7-5, 6-2, 6-4, 7-6",141
M0028,Wimbledon,2000,Final,Grass,Pete Nadal,Stefanos Djokovic,28,66,Pete Nadal,"7-6, 6-3, 6-3",104
M0029,Wimbledon,2019,Final,Hard,Daniil Becker,Pete McEnroe,50,82,Daniil Becker,"7-6, 7-5, 6-3, 7-6, 6-4",147
M0030,Wimbledon,2005,Third Round,Hard,Boris Medvedev,Boris Murray,34,24,Boris Murray,"6-1, 7-6, 6-0, 7-5, 6-1",133
M0031,Wimbledon,2010,Quarterfinal,Hard,John McEnroe,Andy Becker,18,39,John McEnroe,"6-2, 7-5, 6-3",143
M0032,US Open,2018,Final,Clay,Carlos McEnroe,Pete Tsitsipas,92,98,Carlos McEnroe,"6-1, 6-0, 6-3, 6-4",127
M0033,US Open,2019,Second Round,Grass,Stefanos Nadal,Roger Medvedev,10,89,Stefanos Nadal,"6-0, 6-3, 6-2, 7-5",104
M0034,Australian Open,2019,Final,Clay,Boris Federer,John Murray,73,67,John Murray,"6-1, 6-4, 6-3, 6-0",127
M0035,Australian Open,2016,Second Round,Clay,Stefanos Alcaraz,Stefanos Medvedev,84,57,Stefanos Medvedev,"7-6, 6-3, 7-5, 6-0",151
M0036,Australian Open,2017,Quarterfinal,Hard,Rafael Alcaraz,Rafael Nadal,65,49,Rafael Nadal,"6-2, 6-2, 6-3, 7-5",92
M0037,Australian Open,2018,Quarterfinal,Hard,Daniil Federer,Boris Tsitsipas,48,72,Daniil Federer,"6-3, 6-2, 6-0, 6-0, 6-2",109
M0038,US Open,2006,Second Round,Grass,Pete Nadal,John Medvedev,8,84,Pete Nadal,"6-3, 7-5, 7-6, 7-6, 6-4",174
M0039,Australian Open,2006,First Round,Grass,John Medvedev,Stefanos Medvedev,67,29,Stefanos Medvedev,"6-2, 6-4, 6-1",176
M0040,US Open,2010,Third Round,Hard,Stefanos Alcaraz,Rafael Nadal,42,25,Rafael Nadal,"6-1, 6-2, 6-3, 7-5",126
M0041,US Open,2022,First Round,Clay,Stefanos Federer,Daniil Sampras,20,55,Stefanos Federer,"6-3, 6-2, 7-5",166
M0042,Australian Open,2014,Second Round,Grass,Rafael Alcaraz,Andy McEnroe,79,82,Rafael Alcaraz,"6-0, 6-4, 6-4, 7-6",121
M0043,US Open,2009,Final,Hard,Roger McEnroe,Boris Sampras,69,58,Boris Sampras,"6-1, 7-5, 6-2, 7-5, 7-6",99
M0044,Australian Open,2016,Third Round,Grass,Pete Tsitsipas,Andy Tsitsipas,12,49,Pete Tsitsipas,"7-6, 6-3, 7-6, 6-3",111
M0045,Wimbledon,2016,Semifinal,Grass,Andy Tsitsipas,Pete Nadal,97,96,Pete Nadal,"6-0, 6-4, 6-4, 6-4, 6-2",112
M0046,US Open,2000,Second Round,Hard,Rafael Medvedev,Novak Djokovic,22,19,Novak Djokovic,"6-2, 6-0, 6-2, 7-6",120
M0047,French Open,2001,Final,Hard,Novak Murray,Novak Becker,52,52,Novak Becker,"6-4, 6-3, 6-3, 7-5",121
M0048,Wimbledon,2011,Third Round,Clay,Carlos Tsitsipas,Boris Alcaraz,89,52,Boris Alcaraz,"6-3, 6-3, 6-3, 7-5, 6-1",205
M0049,Wimbledon,2012,Semifinal,Hard,Daniil Nadal,Stefanos Djokovic,41,54,Daniil Nadal,"6-2, 7-6, 6-2",138
M0050,US Open,2007,Second Round,Hard,Pete Becker,Boris Murray,3,26,Pete Becker,"6-2, 6-2, 6-3",107
M0051,US Open,2001,First Round,Hard,John Becker,John Djokovic,30,76,John Becker,"6-4, 6-1, 6-4",149
M0052,US Open,2006,Third Round,Clay,Roger Sampras,Stefanos McEnroe,72,90,Roger Sampras,"6-0, 6-2, 6-4",236
M0053,Australian Open,2021,Final,Clay,Pete Nadal,Andy Sampras,84,91,Pete Nadal,"6-1, 6-4, 7-6",120
M0054,Australian Open,2009,Semifinal,Clay,Andy Becker,John Djokovic,7,3,John Djokovic,"7-5, 6-3, 6-3, 7-6",156
M0055,Wimbledon,2003,Third Round,Hard,Novak McEnroe,Andy Djokovic,41,27,Andy Djokovic,"6-2, 6-1, 6-0",101
M0056,French Open,2003,Quarterfinal,Hard,John Medvedev,Roger Murray,63,76,John Medvedev,"6-2, 6-1, 6-0, 6-4, 7-5",148
M0057,US Open,2002,First Round,Clay,Pete Becker,Boris Murray,43,29,Boris Murray,"6-4, 6-2, 6-4, 6-4",237
M0058,US Open,2004,First Round,Clay,Stefanos Murray,John Federer,36,59,Stefanos Murray,"7-6, 6-1, 7-5, 6-3, 6-0",179
M0059,French Open,2000,Third Round,Grass,Rafael Federer,Rafael Federer,66,11,Rafael Federer,"6-0, 7-5, 6-3",142
M0060,French Open,2018,Semifinal,Clay,Roger Becker,Novak McEnroe,56,84,Roger Becker,"6-1, 6-4, 7-6",173
M0061,US Open,2015,First Round,Clay,John Medvedev,Rafael Sampras,67,32,Rafael Sampras,"6-1, 7-5, 6-2, 6-0, 6-2",167
M0062,US Open,2002,Quarterfinal,Clay,Carlos Tsitsipas,Pete Medvedev,77,37,Pete Medvedev,"7-6, 7-5, 6-0",177
M0063,Australian Open,2002,Semifinal,Hard,Roger Medvedev,Boris Nadal,86,27,Boris Nadal,"6-3, 6-4, 7-5, 6-4, 7-6",150
M0064,Australian Open,2002,Quarterfinal,Clay,Roger McEnroe,Stefanos Tsitsipas,84,44,Stefanos Tsitsipas,"7-6, 6-0, 6-0, 6-4",167
M0065,French Open,2015,Semifinal,Clay,Pete Medvedev,Stefanos Federer,37,1,Stefanos Federer,"6-0, 6-2, 6-3, 6-0",160
M0066,Australian Open,2004,Quarterfinal,Hard,Stefanos Nadal,Pete McEnroe,10,3,Pete McEnroe,"6-3, 6-4, 6-3, 6-3",141
M0067,Wimbledon,2018,Third Round,Hard,Boris Federer,Pete Federer,20,49,Boris Federer,"6-1, 6-2, 6-4, 6-3, 6-2",146
M0068,French Open,2022,Third Round,Hard,John Djokovic,Roger Federer,38,60,John Djokovic,"7-6, 6-1, 6-4, 6-1, 6-3",105
M0069,Wimbledon,2009,Third Round,Clay,Boris Nadal,Daniil Alcaraz,66,21,Daniil Alcaraz,"6-0, 6-3, 6-0",204
M0070,US Open,2022,First Round,Clay,John Sampras,Boris Sampras,71,24,Boris Sampras,"7-5, 6-1, 6-0, 6-1, 6-3",181
M0071,Wimbledon,2016,Second Round,Hard,Andy Sampras,Boris Alcaraz,57,41,Boris Alcaraz,"7-6, 6-1, 6-0",124
M0072,US Open,2021,Second Round,Clay,Boris Nadal,Roger Becker,47,34,Roger Becker,"6-3, 6-1, 7-5, 7-6, 7-5",178
M0073,Australian Open,2015,Semifinal,Hard,Novak Alcaraz,Stefanos Becker,46,94,Novak Alcaraz,"6-4, 6-0, 6-0, 6-3, 6-3",100
M0074,French Open,2007,Final,Hard,Daniil Murray,Pete Sampras,60,89,Daniil Murray,"7-6, 7-5, 6-1, 6-1",91
M0075,US Open,2023,Semifinal,Clay,Novak Medvedev,Carlos Nadal,12,56,Novak Medvedev,"7-6, 6-2, 7-6, 6-1, 6-0",225
M0076,French Open,2010,First Round,Grass,Boris Tsitsipas,Daniil Becker,29,86,Boris Tsitsipas,"6-2, 7-5, 6-2, 6-1",137
M0077,Wimbledon,2006,Final,Grass,Boris Becker,Boris Becker,15,27,Boris Becker,"7-5, 6-0, 6-2, 6-3",161
M0078,French Open,2022,First Round,Hard,Carlos Becker,Boris Becker,39,67,Carlos Becker,"6-4, 6-1, 6-3",128
M0079,Australian Open,2000,Third Round,Clay,Stefanos McEnroe,Daniil Djokovic,58,69,Stefanos McEnroe,"6-2, 6-0, 6-3, 6-1, 6-0",183
M0080,Australian Open,2012,Second Round,Grass,Pete Nadal,Rafael Nadal,41,84,Pete Nadal,"6-2, 6-4, 7-5, 6-1",178
M0081,Australian Open,2021,Second Round,Clay,Pete McEnroe,Pete Becker,75,26,Pete Becker,"6-1, 6-4, 6-2, 7-5",200
M0082,US Open,2011,Third Round,Clay,Rafael Medvedev,Stefanos Nadal,58,88,Rafael Medvedev,"7-6, 6-3, 6-0, 7-6",164
M0083,Australian Open,2015,First Round,Hard,Carlos Sampras,Stefanos Federer,21,91,Carlos Sampras,"6-4, 6-3, 6-4, 6-2, 6-2",117
M0084,Australian Open,2012,Quarterfinal,Grass,Carlos Murray,Daniil Alcaraz,16,34,Carlos Murray,"6-3, 7-5, 6-3, 6-2, 6-4",167
M0085,US Open,2008,Semifinal,Grass,Andy Federer,Novak Alcaraz,82,58,Novak Alcaraz,"6-4, 6-0, 6-3, 7-6, 6-0",135
M0086,US Open,2003,Final,Hard,Stefanos Medvedev,John Alcaraz,95,83,John Alcaraz,"6-3, 6-2, 7-5, 6-1",119
M0087,Australian Open,2014,Quarterfinal,Hard,Boris Murray,Roger Federer,96,47,Roger Federer,"6-1, 6-0, 6-0, 6-0",121
M0088,Wimbledon,2008,Third Round,Grass,Daniil Nadal,Rafael Nadal,3,93,Daniil Nadal,"6-3, 6-0, 6-4",154
M0089,Wimbledon,2013,Quarterfinal,Clay,John Murray,Rafael Nadal,1,8,John Murray,"7-5, 7-6, 7-6, 6-2",120
M0090,Australian Open,2007,Third Round,Clay,John Medvedev,Pete Tsitsipas,8,12,John Medvedev,"6-1, 6-4, 6-3",156
M0091,US Open,2017,Quarterfinal,Hard,Rafael Alcaraz,Novak McEnroe,14,92,Rafael Alcaraz,"6-4, 6-3, 6-0, 7-5, 6-0",118
M0092,Wimbledon,2018,Quarterfinal,Clay,Roger Djokovic,Andy Medvedev,3,33,Roger Djokovic,"7-6, 6-1, 6-3, 7-5, 6-4",158
M0093,Australian Open,2021,First Round,Hard,Carlos Becker,Pete McEnroe,56,68,Carlos Becker,"7-5, 6-0, 6-4, 7-6",103
M0094,Australian Open,2014,Final,Hard,Carlos Sampras,Stefanos Murray,26,75,Carlos Sampras,"6-4, 6-4, 7-6, 7-5",98
M0095,Wimbledon,2011,First Round,Clay,Roger Djokovic,John McEnroe,11,61,Roger Djokovic,"7-5, 6-2, 6-0, 7-5",135
M0096,Wimbledon,2019,Second Round,Grass,John Federer,Stefanos Murray,40,40,Stefanos Murray,"7-5, 6-2, 6-4",175
M0097,French Open,2000,Final,Hard,Novak Sampras,Roger McEnroe,85,6,Roger McEnroe,"6-3, 6-0, 7-6",146
M0098,US Open,2000,Quarterfinal,Hard,Daniil Becker,Rafael Federer,98,57,Rafael Federer,"7-6, 7-5, 6-1, 6-4, 6-2",100
M0099,French Open,2006,Semifinal,Hard,Andy McEnroe,Novak Tsitsipas,86,47,Novak Tsitsipas,"7-5, 6-3, 6-3, 7-5, 6-3",150
M0100,Australian Open,2007,Second Round,Grass,Andy Nadal,John Federer,79,64,John Federer,"6-2, 6-2, 7-6, 6-4",171
M0101,Wimbledon,2016,Second Round,Clay,John Djokovic,Daniil Becker,39,69,John Djokovic,"7-5, 6-1, 7-5, 7-5",167
M0102,Wimbledon,2001,Quarterfinal,Grass,Novak Tsitsipas,Pete Nadal,20,5,Pete Nadal,"6-1, 7-6, 7-5, 6-2, 6-3",132
M0103,US Open,2021,Quarterfinal,Clay,Carlos Tsitsipas,Roger McEnroe,11,79,Carlos Tsitsipas,"6-3, 7-6, 7-6",161
M0104,Australian Open,2002,Semifinal,Hard,Stefanos Federer,John Alcaraz,44,40,John Alcaraz,"6-0, 6-1, 7-5",147
M0105,French Open,2023,Third Round,Hard,Rafael Medvedev,Stefanos Becker,16,33,Rafael Medvedev,"7-6, 6-1, 6-1",149
M0106,US Open,2007,Second Round,Grass,Stefanos Djokovic,John Federer,51,51,John Federer,"7-5, 6-2, 6-1, 7-5, 6-2",178
M0107,Australian Open,2000,Semifinal,Hard,Roger Sampras,Rafael McEnroe,57,93,Roger Sampras,"6-1, 6-2, 6-4, 6-2, 6-0",108
M0108,Australian Open,2008,Quarterfinal,Hard,Rafael McEnroe,Carlos Sampras,28,40,Rafael McEnroe,"6-1, 6-0, 6-0",121
M0109,French Open,2016,Quarterfinal,Clay,Rafael Becker,Carlos Becker,73,9,Carlos Becker,"7-6, 6-3, 6-3, 7-5",174
M0110,French Open,2007,Third Round,Grass,Rafael Medvedev,Roger Alcaraz,23,44,Rafael Medvedev,"7-5, 6-2, 6-0, 7-5, 7-5",134
M0111,Wimbledon,2018,Final,Hard,Stefanos Becker,Roger Nadal,33,41,Stefanos Becker,"7-6, 6-1, 7-6, 6-3, 7-6",97
M0112,Wimbledon,2014,Final,Clay,Daniil Murray,Novak McEnroe,98,49,Novak McEnroe,"6-0, 6-3, 7-5, 7-6, 6-0",231
M0113,Australian Open,2017,Final,Clay,Carlos Djokovic,Boris Djokovic,51,58,Carlos Djokovic,"6-4, 6-3, 6-3, 6-2",149
M0114,French Open,2006,Quarterfinal,Grass,Daniil Alcaraz,Novak Murray,15,84,Daniil Alcaraz,"7-5, 7-5, 6-0",162
M0115,US Open,2023,Third Round,Grass,Novak Federer,John Djokovic,4,84,Novak Federer,"6-2, 7-6, 7-6, 6-2",140
M0116,Australian Open,2012,Third Round,Grass,Daniil Murray,Boris Alcaraz,52,59,Daniil Murray,"7-5, 7-6, 6-3, 6-0, 7-5",152
M0117,Wimbledon,2000,Quarterfinal,Hard,Pete Federer,Roger Medvedev,69,46,Roger Medvedev,"6-1, 6-3, 7-6, 6-4, 6-3",146
M0118,French Open,2003,First Round,Clay,Pete Federer,Daniil Medvedev,57,72,Pete Federer,"6-1, 7-5, 6-1, 6-1, 6-4",130
M0119,Australian Open,2023,Final,Hard,Novak Murray,Carlos Alcaraz,19,88,Novak Murray,"6-1, 6-4, 6-2, 7-5",123
M0120,Australian Open,2001,Second Round,Grass,Pete Djokovic,Roger Sampras,16,56,Pete Djokovic,"7-6, 6-4, 6-1, 6-3",180
M0121,Wimbledon,2011,Third Round,Hard,Rafael Sampras,Andy Murray,62,31,Andy Murray,"7-5, 6-1, 7-6, 7-6",135
M0122,Wimbledon,2023,First Round,Grass,Pete Tsitsipas,Daniil Alcaraz,84,86,Pete Tsitsipas,"6-3, 6-3, 6-4",105
M0123,French Open,2021,Final,Grass,John Medvedev,Andy Tsitsipas,13,32,John Medvedev,"6-1, 6-0, 7-5, 6-0",151
M0124,Australian Open,2017,Third Round,Grass,Carlos Djokovic,Daniil Djokovic,93,83,Daniil Djokovic,"7-5, 6-4, 6-4, 7-6",114
M0125,Australian Open,2020,First Round,Hard,John McEnroe,Carlos Tsitsipas,51,58,John McEnroe,"6-4, 7-6, 6-3, 6-4, 7-6",114
M0126,US Open,2009,Semifinal,Grass,Novak Sampras,John Becker,5,31,Novak Sampras,"6-4, 6-3, 6-3",173
M0127,Australian Open,2010,First Round,Hard,Boris Federer,Andy Alcaraz,19,31,Boris Federer,"6-4, 6-2, 6-0",122
M0128,French Open,2019,Quarterfinal,Hard,Andy Nadal,Andy Nadal,12,73,Andy Nadal,"6-1, 6-0, 7-5, 6-3",137
M0129,French Open,2022,Final,Hard,Daniil McEnroe,Rafael Djokovic,89,15,Rafael Djokovic,"6-3, 6-1, 6-0",108
M0130,Australian Open,2003,Third Round,Hard,Pete McEnroe,John Becker,49,28,John Becker,"6-2, 7-5, 6-2, 7-5",127
M0131,Australian Open,2012,Second Round,Clay,Carlos Murray,Daniil Sampras,35,48,Carlos Murray,"6-4, 7-6, 6-2",223
M0132,US Open,2012,Second Round,Grass,Stefanos Alcaraz,Boris Federer,33,34,Stefanos Alcaraz,"6-3, 7-5, 6-3",118
M0133,Australian Open,2001,Final,Clay,Daniil Medvedev,Novak Alcaraz,57,92,Daniil Medvedev,"7-5, 6-3, 6-0",181
M0134,Wimbledon,2006,Final,Grass,Pete Djokovic,Carlos Sampras,74,33,Carlos Sampras,"6-3, 6-1, 6-3, 6-2, 6-1",130
M0135,French Open,2007,Semifinal,Clay,Roger Nadal,Carlos Murray,84,76,Carlos Murray,"7-5, 6-1, 6-3, 6-0, 6-0",180
M0136,Wimbledon,2009,First Round,Hard,Novak Djokovic,Daniil McEnroe,46,66,Novak Djokovic,"6-1, 6-4, 6-2",106
M0137,Australian Open,2010,Third Round,Clay,Andy Tsitsipas,Pete Federer,1,15,Andy Tsitsipas,"6-4, 7-5, 6-0, 6-1, 6-1",220
M0138,Wimbledon,2019,Quarterfinal,Grass,Pete Becker,Daniil Alcaraz,1,93,Pete Becker,"6-4, 6-4, 7-6",175
M0139,US Open,2010,Quarterfinal,Grass,Andy Djokovic,John Alcaraz,49,93,Andy Djokovic,"6-4, 7-5, 6-4",141
M0140,French Open,2017,First Round,Clay,Novak Medvedev,Rafael Medvedev,70,51,Rafael Medvedev,"6-3, 6-3, 6-3",157
M0141,Australian Open,2003,Final,Grass,Novak Tsitsipas,Pete Nadal,46,98,Novak Tsitsipas,"6-1, 6-4, 6-1",152
M0142,Australian Open,2000,Quarterfinal,Grass,Daniil Tsitsipas,Pete Medvedev,54,12,Pete Medvedev,"6-4, 6-2, 6-1, 6-3, 7-5",137
M0143,French Open,2012,Third Round,Hard,John Djokovic,Pete Medvedev,44,74,John Djokovic,"6-0, 6-4, 6-3",125
M0144,Wimbledon,2011,Final,Hard,Roger McEnroe,Novak Alcaraz,59,4,Novak Alcaraz,"7-6, 6-0, 7-6, 6-3",95
M0145,US Open,2013,Second Round,Clay,Stefanos Medvedev,John McEnroe,42,41,John McEnroe,"6-2, 6-3, 7-6, 6-0",231
M0146,Wimbledon,2005,Quarterfinal,Hard,Daniil Federer,Roger Tsitsipas,92,42,Roger Tsitsipas,"6-1, 7-6, 7-6",93
M0147,Wimbledon,2009,Third Round,Clay,Rafael McEnroe,Carlos Alcaraz,47,4,Carlos Alcaraz,"6-0, 6-4, 7-6, 6-0",161
M0148,French Open,2003,Third Round,Hard,John Alcaraz,Roger Medvedev,74,15,Roger Medvedev,"6-1, 6-0, 6-1, 7-5",126
M0149,Wimbledon,2017,Second Round,Grass,Rafael Alcaraz,Novak Alcaraz,87,45,Novak Alcaraz,"6-2, 6-4, 6-4",146
M0150,Australian Open,2002,Second Round,Clay,Carlos Nadal,Boris Sampras,67,34,Boris Sampras,"6-1, 6-0, 6-4",223
M0151,Wimbledon,2020,Quarterfinal,Hard,Carlos Medvedev,Daniil Djokovic,94,93,Daniil Djokovic,"6-0, 7-5, 6-4, 7-5, 7-5",102
M0152,Wimbledon,2009,Second Round,Hard,Daniil Tsitsipas,Pete Tsitsipas,59,5,Pete Tsitsipas,"6-4, 6-1, 6-0",106
M0153,Australian Open,2004,Final,Hard,Roger McEnroe,Boris Medvedev,65,51,Boris Medvedev,"7-5, 6-2, 6-2, 6-1, 7-6",93
M0154,French Open,2013,Quarterfinal,Clay,Andy Federer,Roger Nadal,4,51,Andy Federer,"6-3, 6-0, 7-6, 6-1",149
M0155,US Open,2022,Third Round,Hard,Roger Tsitsipas,Boris Djokovic,20,55,Roger Tsitsipas,"6-0, 7-5, 6-2, 6-2",105
M0156,US Open,2021,Semifinal,Hard,Carlos Tsitsipas,Carlos Becker,73,100,Carlos Tsitsipas,"6-3, 6-2, 7-5",146
M0157,Australian Open,2003,Semifinal,Hard,Rafael Federer,Stefanos Becker,97,71,Stefanos Becker,"6-1, 7-6, 7-5",105
M0158,French Open,2014,Semifinal,Grass,Roger Nadal,John Federer,10,53,Roger Nadal,"6-2, 6-4, 6-1, 7-5, 6-3",173
M0159,French Open,2012,First Round,Grass,Roger McEnroe,Rafael Murray,79,72,Rafael Murray,"6-1, 6-2, 6-2",140
M0160,French Open,2016,Second Round,Hard,Pete Murray,Rafael Federer,32,88,Pete Murray,"7-5, 7-6, 6-3, 6-4",94
M0161,US Open,2007,Semifinal,Hard,Novak Becker,Rafael Federer,40,69,Novak Becker,"7-5, 6-2, 6-2",144
M0162,US Open,2015,First Round,Clay,Andy Sampras,John Federer,93,62,John Federer,"6-1, 7-6, 6-0",175
M0163,Australian Open,2000,Quarterfinal,Grass,Andy Medvedev,Stefanos Becker,7,88,Andy Medvedev,"6-2, 7-6, 6-3",176
M0164,Wimbledon,2023,Quarterfinal,Grass,Carlos Nadal,Boris Becker,93,21,Boris Becker,"6-4, 7-5, 6-2",161
M0165,Wimbledon,2005,First Round,Clay,Carlos Nadal,Pete McEnroe,89,95,Carlos Nadal,"7-6, 7-6, 6-0",170
M0166,Wimbledon,2005,First Round,Clay,Carlos Becker,Novak Becker,8,38,Carlos Becker,"6-3, 6-3, 6-2, 6-3, 6-0",205
M0167,US Open,2006,Semifinal,Hard,Carlos Becker,Stefanos Sampras,68,77,Carlos Becker,"7-5, 6-4, 6-1",133
M0168,Wimbledon,2022,Quarterfinal,Hard,Rafael Sampras,Novak McEnroe,92,26,Novak McEnroe,"6-1, 6-3, 7-5, 6-1",149
M0169,Wimbledon,2021,First Round,Hard,Novak Alcaraz,Stefanos Medvedev,12,31,Novak Alcaraz,"6-4, 6-1, 6-4",117
M0170,Wimbledon,2021,Second Round,Hard,Carlos Djokovic,John Tsitsipas,84,94,Carlos Djokovic,"6-1, 6-0, 6-0, 6-4",99
M0171,Wimbledon,2003,First Round,Clay,Andy McEnroe,Novak Medvedev,51,62,Andy McEnroe,"6-1, 6-3, 7-6, 7-5, 6-4",214
M0172,Australian Open,2018,Third Round,Grass,Pete McEnroe,Daniil Djokovic,68,61,Daniil Djokovic,"7-5, 6-4, 6-1, 6-2",161
M0173,US Open,2015,Final,Hard,Stefanos Becker,Rafael Becker,28,11,Rafael Becker,"7-5, 6-0, 6-3, 6-2, 6-3",119
M0174,French Open,2008,Final,Clay,Rafael Murray,Novak Djokovic,64,82,Rafael Murray,"6-3, 7-6, 6-0",236
M0175,Australian Open,2000,Second Round,Grass,Carlos Djokovic,Daniil Alcaraz,34,7,Daniil Alcaraz,"7-6, 6-4, 7-5, 6-1",171
M0176,Australian Open,2019,First Round,Clay,Pete Sampras,Stefanos Tsitsipas,31,9,Stefanos Tsitsipas,"7-5, 6-4, 7-5, 6-1, 7-6",205
M0177,Australian Open,2015,Third Round,Hard,Carlos Becker,Andy Tsitsipas,33,82,Carlos Becker,"6-3, 7-5, 7-5, 6-4, 6-1",95
M0178,Australian Open,2018,Final,Hard,Daniil Medvedev,Daniil Medvedev,89,69,Daniil Medvedev,"6-2, 6-2, 6-0, 6-3",132
M0179,Wimbledon,2011,Third Round,Grass,Rafael Becker,Novak Medvedev,79,51,Novak Medvedev,"6-0, 7-5, 7-5",142
M0180,Wimbledon,2019,Second Round,Grass,John Sampras,Daniil Becker,78,97,John Sampras,"6-4, 6-3, 6-0, 6-3",162
M0181,French Open,2002,Semifinal,Clay,Rafael Becker,Stefanos Becker,82,74,Stefanos Becker,"6-2, 6-3, 7-6, 7-6",169
M0182,Wimbledon,2001,First Round,Clay,Novak Djokovic,Novak Medvedev,25,32,Novak Djokovic,"6-3, 7-5, 6-1",207
M0183,French Open,2020,Second Round,Grass,Rafael Medvedev,Andy McEnroe,82,58,Andy McEnroe,"6-3, 6-1, 6-4, 6-2",147
M0184,Wimbledon,2021,Final,Clay,Boris Alcaraz,Carlos Becker,33,40,Boris Alcaraz,"6-4, 6-4, 6-3, 7-6",163
M0185,French Open,2019,Semifinal,Clay,Daniil Becker,Stefanos Becker,39,22,Stefanos Becker,"6-4, 7-5, 6-1",167
M0186,Australian Open,2002,Semifinal,Clay,John Federer,Daniil Sampras,66,39,Daniil Sampras,"6-3, 6-3, 6-0",122
M0187,US Open,2002,Quarterfinal,Hard,Daniil Medvedev,Rafael Becker,7,19,Daniil Medvedev,"6-1, 6-0, 6-1, 6-4",95
